# cell id, centroid x, centroid y, centroid z, region, subregion, field
351, 1480075.92, 4931242.32, 0.00, 4, 5, 1999.919500
352, 1449484.72, 4916714.74, 0.00, 0, 415, 530.069345
353, 1450917.88, 4925619.93, 0.00, 0, 415, 658.962642
354, 1457825.57, 4920158.46, 0.00, 1, 159, 791.614000
355, 1449245.73, 4916827.01, 0.00, 0, 415, 491.843466
356, 1473528.64, 4922213.20, 0.00, 2, 307, 1226.946590
357, 1449378.52, 4916770.60, 0.00, 0, 415, 605.755900
358, 1449086.47, 4917577.49, 0.00, 0, 415, 553.685901
359, 1449967.36, 4917304.86, 0.00, 0, 415, 460.392316
360, 1450187.59, 4923686.65, 0.00, 1, 163, 707.890846
361, 1452159.39, 4915439.49, 0.00, 0, 415, 345.662440
362, 1449094.08, 4917850.68, 0.00, 0, 415, 605.946475
363, 1449328.01, 4916792.19, 0.00, 0, 415, 608.558324
364, 1455387.80, 4927731.64, 0.00, 1, 159, 785.582709
365, 1459219.87, 4928461.85, 0.00, 1, 159, 1010.752660
366, 1449282.69, 4918061.38, 0.00, 0, 415, 684.100084
367, 1448514.73, 4922700.60, 0.00, 1, 163, 935.572188
368, 1449505.16, 4916773.74, 0.00, 0, 415, 593.817902
369, 1469208.04, 4933679.76, 0.00, 3, 53, 1592.056070
370, 1449271.98, 4917944.27, 0.00, 0, 415, 379.730644
371, 1457564.09, 4920351.52, 0.00, 1, 159, 913.425501
372, 1449565.73, 4916844.43, 0.00, 0, 415, 553.906417
373, 1473610.60, 4936254.11, 0.00, 2, 308, 1132.902030
374, 1457209.65, 4919427.06, 0.00, 1, 159, 873.129723
375, 1449821.23, 4916606.93, 0.00, 0, 415, 500.169197
376, 1455398.71, 4916499.86, 0.00, 0, 415, 684.629713
377, 1449737.92, 4916747.43, 0.00, 0, 415, 588.926554
378, 1449469.49, 4918248.40, 0.00, 0, 415, 559.983552
379, 1449402.30, 4918159.62, 0.00, 0, 415, 575.636561
380, 1453166.29, 4914784.67, 0.00, 0, 415, 420.322426
381, 1455856.55, 4917231.28, 0.00, 0, 415, 580.121636
382, 1455370.63, 4927597.16, 0.00, 0, 415, 710.279286
383, 1449495.59, 4918220.57, 0.00, 0, 415, 570.160830
384, 1449851.19, 4918765.30, 0.00, 0, 415, 658.500910
385, 1463868.82, 4921306.49, 0.00, 1, 164, 1004.675670
386, 1449375.71, 4918072.09, 0.00, 0, 415, 610.913474
387, 1469303.65, 4933552.34, 0.00, 3, 53, 1944.665430
388, 1449693.22, 4916648.59, 0.00, 0, 415, 461.499789
389, 1449406.74, 4916764.65, 0.00, 0, 415, 617.687501
390, 1472639.45, 4935458.86, 0.00, 2, 308, 1416.726400
391, 1459256.81, 4928370.24, 0.00, 1, 159, 965.643629
392, 1469653.78, 4935258.81, 0.00, 3, 53, 1656.161380
393, 1449165.12, 4923787.79, 0.00, 1, 163, 740.946161
394, 1449144.12, 4923744.36, 0.00, 1, 163, 727.875246
395, 1448898.36, 4923401.80, 0.00, 1, 163, 940.853682
396, 1473571.32, 4925087.54, 0.00, 3, 53, 1967.456980
397, 1449187.03, 4923746.66, 0.00, 1, 163, 676.547010
