# pid, centroid x, centroid y, centroid z, field, isovalue_min, isovalue_max, field_m_sigma, field_p_sigma, misclassification
22497, 1479650.71, 4930680.71, 0.00, 1864.800050, 2052.970000, 3364.610000, 2623.890580, 1105.709520, 188.169950
22500, 1479570.48, 4930904.54, 0.00, 1945.129400, 2052.970000, 3364.610000, 2559.552860, 1330.705930, 107.840600
22506, 1479491.81, 4931096.40, 0.00, 1914.042980, 2052.970000, 3364.610000, 2760.382360, 1067.703610, 138.927020
22513, 1479899.37, 4929604.12, 0.00, 1865.278290, 2052.970000, 3364.610000, 2581.749470, 1148.807120, 187.691710
22837, 1479271.81, 4932351.06, 0.00, 2027.191720, 2052.970000, 3364.610000, 2569.771660, 1484.611770, 25.778280
23372, 1479435.17, 4929567.22, 0.00, 1896.709330, 2052.970000, 3364.610000, 2688.806330, 1104.612320, 156.260670
23373, 1479723.74, 4929547.69, 0.00, 1814.339650, 2052.970000, 3364.610000, 2369.982100, 1258.697200, 238.630350
23374, 1479623.68, 4929446.81, 0.00, 1935.130310, 2052.970000, 3364.610000, 2449.233110, 1421.027510, 117.839690
24312, 1479538.68, 4929448.52, 0.00, 2040.056360, 2052.970000, 3364.610000, 2783.465580, 1296.647140, 12.913640
36595, 1470152.92, 4933020.83, 0.00, 1962.274290, 2052.970000, 3364.610000, 2728.745370, 1195.803210, 90.695710
47746, 1469513.35, 4932403.77, 0.00, 1991.170050, 2052.970000, 3364.610000, 2685.029870, 1297.310230, 61.799950
47767, 1469674.05, 4932310.33, 0.00, 2048.535340, 2052.970000, 3364.610000, 2848.324320, 1248.746370, 4.434660
47773, 1469574.00, 4932409.24, 0.00, 1954.393710, 2052.970000, 3364.610000, 2712.391520, 1196.395900, 98.576290
47793, 1469964.86, 4932039.45, 0.00, 1955.825470, 2052.970000, 3364.610000, 2736.097610, 1175.553340, 97.144530
47799, 1469900.72, 4932144.25, 0.00, 2030.505560, 2052.970000, 3364.610000, 2623.843640, 1437.167470, 22.464440
47800, 1469793.53, 4932236.74, 0.00, 1992.626550, 2052.970000, 3364.610000, 2774.864190, 1210.388920, 60.343450
47810, 1469890.59, 4932591.58, 0.00, 1728.279290, 2052.970000, 3364.610000, 2455.479920, 1001.078660, 324.690710
47816, 1470126.75, 4932128.79, 0.00, 1988.406570, 2052.970000, 3364.610000, 2682.834210, 1293.978920, 64.563430
47826, 1470774.08, 4932430.38, 0.00, 1988.509750, 2052.970000, 3364.610000, 2878.441800, 1098.577700, 64.460250
47839, 1470102.66, 4932289.27, 0.00, 1825.515430, 2052.970000, 3364.610000, 2379.153110, 1271.877750, 227.454570
47843, 1469899.56, 4932322.45, 0.00, 1985.909130, 2052.970000, 3364.610000, 2799.782060, 1172.036210, 67.060870
47844, 1470006.80, 4932243.85, 0.00, 1825.050300, 2052.970000, 3364.610000, 2537.881590, 1112.219020, 227.919700
47944, 1479973.55, 4931177.68, 0.00, 1968.699740, 2052.970000, 3364.610000, 2469.924980, 1467.474500, 84.270260
